id_x,price,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,availability_eoy,number_of_reviews,number_of_reviews_l30d,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,distance_to_center,neighbourhood_cleansed_Dn Laoghaire-Rathdown,neighbourhood_cleansed_Dublin City,neighbourhood_cleansed_Fingal,neighbourhood_cleansed_South Dublin,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,compound_scores,season_Spring,season_Summer,season_Autumn
44077,76.0,3,100.0,99.0,1,2.0,1,1,53.29178,-6.25792,2,1.0,1.0,2.0,3,30,7,23,36,42,42,380,4,42,234,17784.0,4.81,4.86,4.76,4.93,4.93,4.68,4.82,0,2.19,6.459126708698727,1,0,0,0,0,0,1,0,0.6905847368421052,0.31842105263157894,0.35526315789473684,0.22894736842105262
85156,91.0,3,100.0,99.0,1,2.0,1,1,53.29209,-6.25624,2,1.5,1.0,1.0,3,21,8,28,45,54,54,343,4,41,240,21840.0,4.81,4.84,4.76,4.91,4.89,4.64,4.78,0,2.0,6.428374696390756,1,0,0,0,0,0,1,0,0.6197347953216374,0.3538011695906433,0.29239766081871343,0.24269005847953215
159889,45.0,3,100.0,94.0,0,3.0,1,1,53.39027,-6.23547,1,2.0,1.0,1.0,2,14,6,16,32,291,135,450,1,30,102,4590.0,4.75,4.76,4.71,4.84,4.87,4.65,4.71,0,2.79,4.797693492519469,0,1,0,0,0,0,1,0,0.7145203125,0.27901785714285715,0.3392857142857143,0.25223214285714285
165828,256.0,3,75.0,84.0,0,4.0,1,1,53.33744,-6.32363,5,1.0,1.0,3.0,3,365,14,37,56,328,165,84,1,2,48,12288.0,4.67,4.88,4.73,4.83,4.77,4.4,4.56,0,0.51,4.436604606635255,0,1,0,0,1,0,0,0,0.5963869047619047,0.21428571428571427,0.14285714285714285,0.36904761904761907
165829,228.0,3,75.0,84.0,0,4.0,1,1,53.33744,-6.32363,5,1.0,1.0,3.0,3,365,9,19,31,141,140,85,0,5,18,4104.0,4.72,4.83,4.76,4.77,4.72,4.4,4.57,0,0.52,4.436604606635255,0,1,0,0,1,0,0,0,0.6102082352941176,0.24705882352941178,0.16470588235294117,0.25882352941176473
237465,74.0,4,100.0,86.0,0,3.0,1,1,53.39558,-6.17524,2,1.5,1.0,1.0,1,4,6,15,24,99,99,581,6,64,255,18870.0,4.56,4.69,4.57,4.78,4.77,4.39,4.55,0,3.54,7.616461053716387,0,1,0,0,1,0,0,0,0.5461655172413793,0.30344827586206896,0.28620689655172415,0.25517241379310346
245903,30.0,4,100.0,63.0,1,1.0,1,1,53.34596,-6.41719,1,1.5,1.0,1.0,30,180,0,0,1,5,1,49,1,4,180,5400.0,4.94,4.94,4.88,4.98,5.0,4.67,4.88,0,0.31,10.457035509753476,0,0,0,1,0,0,1,0,0.8185836734693878,0.1836734693877551,0.30612244897959184,0.3877551020408163
266654,34.0,3,71.0,67.0,0,1.0,1,1,53.39091,-6.29406,1,1.0,1.0,1.0,3,12,3,3,17,17,17,71,0,0,0,0.0,4.86,4.85,4.7,4.91,4.97,4.55,4.85,0,0.46,5.097308061991795,0,1,0,0,0,0,1,0,0.8433732394366197,0.23943661971830985,0.3380281690140845,0.29577464788732394
274969,151.0,4,100.0,100.0,0,1.0,1,1,53.34415,-6.31578,4,2.0,2.0,2.0,4,60,5,19,28,49,49,2,0,0,0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0.01,3.7479679331633706,0,1,0,0,1,0,0,0,0.93995,0.0,0.5,0.5
292757,130.0,4,100.0,86.0,1,1.0,1,1,53.36949,-6.34889,9,2.5,4.0,5.0,2,1125,0,1,3,152,39,490,6,43,255,33150.0,4.94,4.93,4.83,4.96,4.97,4.95,4.87,0,3.15,6.292072702794192,0,1,0,0,1,0,0,0,0.8879092213114753,0.2889344262295082,0.28688524590163933,0.2725409836065574
302554,197.0,4,100.0,100.0,0,8.0,1,1,53.35681,-6.29094,5,1.0,1.0,2.0,2,365,3,8,16,246,111,78,1,7,18,3546.0,4.68,4.73,4.82,4.95,4.92,4.52,4.57,1,0.48,2.184327645745835,0,1,0,0,1,0,0,0,0.7145884615384616,0.34615384615384615,0.21794871794871795,0.24358974358974358
302634,105.0,4,100.0,100.0,0,8.0,1,1,53.35681,-6.29094,2,1.0,1.0,2.0,2,365,2,6,12,181,52,178,4,22,186,19530.0,4.65,4.71,4.73,4.78,4.91,4.56,4.5,1,1.1,2.184327645745835,0,1,0,0,1,0,0,0,0.6326432584269663,0.3258426966292135,0.20224719101123595,0.3202247191011236
333950,98.0,3,100.0,96.0,1,2.0,1,1,53.34199721059351,-6.27368487417698,2,1.0,1.0,1.0,2,5,6,6,6,6,6,298,1,24,96,9408.0,4.78,4.79,4.58,4.84,4.88,4.9,4.71,0,1.86,1.2444865954400204,0,1,0,0,0,0,1,0,0.7899577181208054,0.32550335570469796,0.2214765100671141,0.2986577181208054
365854,187.0,4,100.0,75.0,0,1.0,1,1,53.35314,-6.25652,2,1.0,1.0,1.0,3,365,16,46,69,204,173,196,0,3,48,8976.0,4.24,4.4,4.45,4.64,4.62,4.32,4.08,0,1.22,0.4489252535270094,0,1,0,0,1,0,0,0,0.6815244897959184,0.3520408163265306,0.27040816326530615,0.2755102040816326
374792,239.0,3,75.0,84.0,0,4.0,1,1,53.33744,-6.32363,4,1.0,1.0,3.0,3,365,8,16,31,128,127,37,0,1,6,1434.0,4.5,4.54,4.62,4.86,4.81,4.41,4.51,0,0.23,4.436604606635255,0,1,0,0,1,0,0,0,0.6006108108108108,0.35135135135135137,0.21621621621621623,0.16216216216216217
380174,180.0,0,100.0,75.0,0,1.0,1,1,53.29521,-6.13692,2,1.5,1.0,1.0,13,180,2,2,25,25,25,12,1,0,26,4680.0,4.58,4.67,4.25,4.42,4.67,4.75,4.08,0,0.1,10.222752558946286,1,0,0,0,1,0,0,0,0.7554916666666668,0.08333333333333333,0.75,0.16666666666666666
419987,224.0,4,100.0,100.0,0,8.0,1,1,53.35682,-6.29132,6,1.0,1.0,3.0,2,365,3,9,15,249,92,178,0,7,48,10752.0,4.78,4.79,4.81,4.9,4.93,4.53,4.6,1,1.16,2.2083738300992275,0,1,0,0,1,0,0,0,0.6966606741573034,0.29213483146067415,0.19662921348314608,0.33146067415730335
424596,148.0,3,100.0,92.0,1,4.0,1,1,53.355545,-6.258094,3,1.0,1.0,1.0,2,1124,7,24,46,117,117,665,3,47,240,35520.0,4.85,4.93,4.91,4.9,4.89,4.63,4.75,0,4.2,0.6560350652811054,0,1,0,0,1,0,0,0,0.8272187969924812,0.26015037593984963,0.29473684210526313,0.2721804511278195
426326,125.0,3,100.0,94.0,0,3.0,1,1,53.39027,-6.23547,3,2.0,3.0,3.0,1,14,10,14,16,20,20,267,0,4,18,2250.0,4.61,4.78,4.5,4.84,4.85,4.56,4.6,1,1.69,4.797693492519469,0,1,0,0,0,0,1,0,0.6830681647940074,0.2247191011235955,0.3333333333333333,0.31835205992509363
427077,157.0,3,100.0,92.0,1,4.0,1,1,53.35572,-6.25803,3,1.0,1.0,1.0,2,1124,16,46,67,147,147,617,2,36,216,33912.0,4.84,4.88,4.91,4.86,4.85,4.62,4.7,0,3.86,0.6759710229448034,0,1,0,0,1,0,0,0,0.8498128038897894,0.26742301458670986,0.3192868719611021,0.26742301458670986
427495,110.0,3,100.0,94.0,0,3.0,1,1,53.39027,-6.23547,2,2.0,17.0,1.0,1,12,17,40,65,337,174,188,0,3,12,1320.0,4.6,4.71,4.5,4.83,4.87,4.51,4.62,0,1.21,4.797693492519469,0,1,0,0,0,0,1,0,0.6696053475935829,0.1925133689839572,0.31016042780748665,0.37433155080213903
451611,157.0,3,100.0,96.0,1,2.0,1,1,53.3404,-6.27256,2,1.0,1.0,1.0,3,31,0,3,10,125,57,652,7,44,255,40035.0,4.65,4.72,4.5,4.74,4.87,4.88,4.67,1,4.11,1.3270816893264343,0,1,0,0,1,0,0,0,0.8370861963190185,0.2745398773006135,0.25766871165644173,0.2668711656441718
468082,135.0,4,100.0,97.0,1,3.0,1,1,53.35336,-6.44968,5,0.0,2.0,3.0,1,21,13,32,46,295,133,414,3,40,252,34020.0,4.73,4.83,4.75,4.84,4.91,4.79,4.69,1,2.66,12.617143049332805,0,0,0,1,0,0,1,0,0.7179769417475729,0.2912621359223301,0.4344660194174757,0.23300970873786409
522667,148.0,3,100.0,92.0,1,4.0,1,1,53.355545,-6.258094,3,1.0,1.0,1.0,2,1124,14,36,55,138,138,543,1,40,174,25752.0,4.82,4.91,4.94,4.9,4.88,4.65,4.68,0,3.44,0.6560350652811054,0,1,0,0,1,0,0,0,0.8464033210332104,0.2656826568265683,0.32287822878228783,0.2785977859778598
526767,180.0,4,100.0,100.0,1,3.0,1,1,53.34752,-6.26393,3,1.0,0.0,2.0,2,60,0,1,4,235,79,700,4,51,255,45900.0,4.91,4.94,4.92,4.95,4.98,4.93,4.78,0,4.5,0.3504657633572452,0,1,0,0,1,0,0,0,0.8240168812589413,0.2646638054363376,0.25464949928469244,0.27896995708154504
587218,90.0,3,100.0,89.0,1,1.0,1,1,53.36405,-6.27351,2,1.5,1.0,1.0,2,7,1,3,6,171,31,320,3,41,255,22950.0,4.98,4.97,4.97,4.99,4.98,4.81,4.94,0,2.06,1.8134962971208435,0,1,0,0,0,0,1,0,0.789360625,0.284375,0.2875,0.271875
592840,74.0,4,100.0,97.0,1,3.0,1,1,53.35338,-6.44994,1,1.5,1.0,1.0,1,10,14,39,63,335,172,126,2,25,180,13320.0,4.91,4.94,4.97,4.91,4.94,4.94,4.84,0,0.81,12.634515101056625,0,0,0,1,0,0,1,0,0.843697619047619,0.23015873015873015,0.2619047619047619,0.35714285714285715
631270,111.0,3,100.0,89.0,1,2.0,1,1,53.34095,-6.23277,1,1.0,1.0,2.0,3,30,0,0,8,78,78,66,0,17,60,6660.0,4.89,4.89,4.89,4.98,4.95,4.84,4.74,0,0.61,2.081309423861849,0,1,0,0,0,0,1,0,0.8202878787878788,0.3484848484848485,0.3181818181818182,0.25757575757575757
654589,200.0,3,100.0,87.0,0,2.0,1,1,53.34493,-6.26688,4,1.0,2.0,3.0,1,1125,2,21,37,120,120,671,3,51,216,43200.0,4.75,4.79,4.82,4.86,4.92,4.94,4.61,0,4.31,0.6969841728115765,0,1,0,0,1,0,0,0,0.8086644776119403,0.2462686567164179,0.23432835820895523,0.3029850746268657
690119,365.0,4,100.0,91.0,1,1.0,1,1,53.29448,-6.24686,4,2.0,2.0,2.0,4,14,0,0,4,102,6,251,3,15,144,52560.0,4.9,4.92,4.85,4.94,4.97,4.74,4.76,1,1.72,6.221489990106548,1,0,0,0,1,0,0,0,0.8184278884462152,0.21912350597609562,0.3386454183266932,0.24302788844621515
726011,146.0,4,100.0,96.0,1,1.0,1,1,53.58175,-6.1226,3,1.5,1.0,2.0,2,1125,0,1,9,243,80,227,0,21,84,12264.0,4.93,4.92,4.91,4.96,4.98,4.97,4.81,0,1.59,27.38682623403137,0,0,1,0,1,0,0,0,0.8449422907488986,0.2511013215859031,0.24669603524229075,0.2775330396475771
726075,125.0,3,100.0,91.0,0,10.0,1,1,53.36973,-6.25788,5,2.5,3.0,5.0,21,90,4,8,14,29,14,4,0,1,42,5250.0,4.5,4.5,4.25,5.0,5.0,5.0,4.5,0,0.03,2.223914155957096,0,1,0,0,1,0,0,0,0.8037,0.0,0.5,0.5
742656,70.0,2,83.0,78.0,0,2.0,1,1,53.33387,-6.26429,2,0.5,1.0,1.0,2,1001,12,27,38,38,38,495,5,33,228,15960.0,4.59,4.66,4.42,4.84,4.89,4.78,4.56,0,3.58,1.7927004993255353,0,1,0,0,0,0,1,0,0.6591569696969697,0.30303030303030304,0.3212121212121212,0.2585858585858586
871174,62.0,4,100.0,84.0,0,3.0,1,1,53.3678,-6.20609,3,1.0,1.0,3.0,1,30,11,23,23,70,70,363,4,46,204,12648.0,4.56,4.72,4.3,4.79,4.79,4.65,4.52,0,2.43,4.127941810342664,0,1,0,0,0,0,1,0,0.6551220994475139,0.31767955801104975,0.35911602209944754,0.2292817679558011
872539,298.0,3,100.0,73.0,1,1.0,1,1,53.35789,-6.23813,4,1.0,2.0,2.0,3,7,4,23,43,302,141,164,1,16,54,16092.0,4.81,4.83,4.92,4.94,4.9,4.54,4.66,0,1.1,1.7291377110320998,0,1,0,0,1,0,0,0,0.6724768292682927,0.32926829268292684,0.35365853658536583,0.22560975609756098
998407,64.0,4,100.0,86.0,0,3.0,1,1,53.39622,-6.1756,2,1.0,0.0,1.0,1,4,8,13,19,95,95,350,2,38,186,11904.0,4.31,4.57,4.44,4.76,4.76,4.3,4.34,0,2.71,7.646578395373891,0,1,0,0,1,0,0,0,0.49729169054441263,0.2722063037249284,0.22349570200573066,0.28939828080229224
999963,405.0,3,100.0,68.0,0,2.0,1,1,53.36193,-6.27423,6,2.5,3.0,8.0,7,365,0,0,0,3,0,11,0,0,0,0.0,4.91,4.91,4.73,5.0,5.0,4.73,4.91,0,0.08,1.6379064316284886,0,1,0,0,1,0,0,0,0.9121636363636363,0.0,0.9090909090909091,0.09090909090909091
1086416,136.0,3,100.0,77.0,1,1.0,1,1,53.35846,-6.27528,2,1.0,1.0,1.0,3,7,3,5,16,16,16,297,3,17,156,21216.0,4.88,4.94,4.94,4.93,4.96,4.61,4.76,0,2.02,1.3870275160798555,0,1,0,0,1,0,0,0,0.7776508417508418,0.31986531986531985,0.3400673400673401,0.26262626262626265
1173029,320.0,4,100.0,100.0,1,1.0,1,1,53.35107,-6.27992,4,2.0,2.0,2.0,3,30,3,11,21,159,95,505,7,71,255,81600.0,4.83,4.85,4.83,4.9,4.91,4.76,4.76,0,4.15,1.3141651857980259,0,1,0,0,1,0,0,0,0.7383906746031746,0.25992063492063494,0.3055555555555556,0.24801587301587302
1207950,390.0,3,100.0,94.0,1,1.0,1,1,53.28341,-6.24498,8,2.5,4.0,4.0,5,28,8,18,35,65,65,102,2,11,100,39000.0,4.94,4.98,4.97,4.97,4.99,4.85,4.91,0,0.71,7.458900333969623,1,0,0,0,1,0,0,0,0.8083215686274511,0.17647058823529413,0.6372549019607843,0.18627450980392157
1255270,36.0,3,100.0,90.0,1,2.0,1,1,53.33883,-6.433,1,1.0,1.0,0.0,7,360,0,1,12,257,94,22,0,5,42,1512.0,4.91,5.0,4.95,5.0,5.0,4.59,4.95,0,0.15,11.566758862807054,0,0,0,1,0,0,1,0,0.76905,0.22727272727272727,0.3181818181818182,0.3181818181818182
1270261,50.0,3,67.0,17.0,0,1.0,1,1,53.5668,-6.31556,6,2.0,1.0,6.0,1,1125,12,30,41,316,153,13,0,0,0,0.0,4.85,4.83,4.83,5.0,5.0,4.75,4.75,0,0.1,24.428332831621503,0,0,1,0,0,0,1,0,0.8228923076923077,0.46153846153846156,0.15384615384615385,0.38461538461538464
1299470,585.0,3,100.0,84.0,0,1.0,1,1,53.44352,-6.13357,12,4.0,5.0,8.0,3,365,8,14,23,281,118,8,2,1,48,28080.0,4.88,5.0,5.0,5.0,5.0,4.88,4.75,0,1.33,13.411227320995586,0,0,1,0,1,0,0,0,0.9677,0.75,0.0,0.0
1364560,100.0,4,100.0,96.0,0,2.0,1,0,53.33677,-6.28899,2,1.0,1.0,2.0,2,5,8,9,9,9,9,171,1,13,72,7200.0,4.73,4.85,4.89,4.9,4.95,4.43,4.57,0,1.19,2.39880877176358,0,1,0,0,0,0,1,0,0.7220812865497076,0.2807017543859649,0.2573099415204678,0.3742690058479532
1407832,444.0,4,100.0,25.0,0,1.0,1,1,53.29832,-6.17191,6,3.0,4.0,4.0,6,28,0,8,30,30,30,65,0,1,12,5328.0,4.94,4.91,4.88,4.98,5.0,4.79,4.87,0,0.45,8.216699574266942,1,0,0,0,1,0,0,0,0.8117138461538462,0.15384615384615385,0.6461538461538462,0.12307692307692308
1466234,56.0,4,100.0,100.0,1,1.0,1,1,53.32894,-6.30413,1,1.5,1.0,1.0,4,30,6,14,18,140,79,229,2,36,240,13440.0,4.79,4.86,4.68,4.92,4.83,4.57,4.75,0,1.59,3.7300317675232666,0,1,0,0,0,0,1,0,0.5937200873362446,0.29694323144104806,0.28820960698689957,0.24890829694323144
1478255,238.0,4,100.0,100.0,0,1.0,1,1,53.34359251055312,-6.221619842327872,4,1.5,1.0,3.0,2,365,12,27,46,312,154,33,4,22,144,34272.0,4.67,4.7,4.67,4.91,4.88,4.73,4.52,0,2.19,2.667057410059112,0,1,0,0,1,0,0,0,0.5228424242424243,0.5454545454545454,0.45454545454545453,0.0
1559929,85.0,3,100.0,64.0,0,2.0,1,1,53.33514,-6.26772,1,1.0,1.0,1.0,2,4,0,0,1,5,2,66,0,0,0,0.0,4.92,4.94,4.95,4.94,4.95,4.92,4.95,0,0.47,1.7047580323361486,0,1,0,0,0,0,1,0,0.8519666666666666,0.42424242424242425,0.21212121212121213,0.21212121212121213
1596451,817.0,2,100.0,60.0,0,1.0,1,1,53.36205,-6.2442,8,3.0,3.0,4.0,3,7,22,52,80,347,184,18,0,0,6,6000.0,4.61,4.59,4.18,4.88,4.94,3.65,4.29,0,0.13,1.7343226732549337,0,1,0,0,1,0,0,0,0.8137888888888889,0.4444444444444444,0.3333333333333333,0.05555555555555555
1600779,110.0,3,100.0,64.0,0,2.0,1,1,53.33511,-6.26875,2,1.0,1.0,1.0,2,4,0,0,1,55,55,79,0,3,18,1980.0,4.91,4.9,4.87,4.95,4.96,4.89,4.8,0,0.57,1.729051936447494,0,1,0,0,0,0,1,0,0.8322949367088608,0.43037974683544306,0.24050632911392406,0.21518987341772153
1729959,215.0,3,100.0,91.0,0,2.0,1,1,53.3065,-6.24719,6,1.5,3.0,5.0,5,1125,3,3,3,71,3,8,0,1,10,2150.0,4.88,4.75,4.0,5.0,5.0,4.88,4.63,0,0.06,4.897486033922832,1,0,0,0,1,0,0,0,0.687575,0.25,0.75,0.0
1906221,138.0,4,100.0,97.0,1,3.0,1,1,53.33688,-6.29419,2,1.0,1.0,1.0,2,90,3,4,7,126,67,602,0,39,96,13248.0,4.9,4.93,4.94,4.94,4.98,4.61,4.82,0,4.29,2.676278874255496,0,1,0,0,0,0,1,0,0.7334003322259136,0.2823920265780731,0.3073089700996678,0.19767441860465115
1943366,224.0,4,100.0,100.0,0,8.0,1,1,53.35691,-6.29164,6,1.0,1.0,2.0,2,365,4,10,17,269,110,165,2,5,54,12096.0,4.82,4.84,4.87,4.89,4.88,4.67,4.61,1,1.22,2.231846212055051,0,1,0,0,1,0,0,0,0.7214387878787879,0.3333333333333333,0.22424242424242424,0.19393939393939394
1963074,125.0,4,100.0,97.0,0,1.0,1,1,53.39105,-6.27775,2,1.0,1.0,1.0,1,1125,3,19,24,33,29,782,6,59,255,31875.0,4.97,4.98,4.98,4.97,4.97,4.81,4.9,0,5.91,4.735496916626312,0,1,0,0,0,0,1,0,0.8262135723431497,0.2752880921895006,0.34827144686299616,0.2701664532650448
2026810,58.0,4,92.0,97.0,0,2.0,1,1,53.32338,-6.25333,1,1.5,3.0,1.0,3,1125,7,23,33,286,123,384,2,33,150,8700.0,4.74,4.76,4.71,4.86,4.86,4.87,4.74,0,2.8,2.976782525294691,0,1,0,0,0,0,1,0,0.7562466145833334,0.2630208333333333,0.28125,0.3046875
2164444,91.0,3,90.0,97.0,0,3.0,1,1,53.32889,-6.25116,2,1.0,1.0,1.0,2,30,3,3,10,10,10,567,2,41,216,19656.0,4.53,4.63,4.41,4.83,4.74,4.81,4.54,0,4.11,2.405448592217525,0,1,0,0,0,0,1,0,0.7183606701940035,0.2821869488536155,0.2839506172839506,0.24162257495590828
2241137,97.0,2,70.0,54.0,0,4.0,1,1,53.27925,-6.13324,8,1.5,1.0,1.0,1,365,23,53,79,354,191,20,3,12,84,8148.0,4.8,4.8,4.65,4.8,5.0,4.7,4.7,0,0.99,11.548213736392047,1,0,0,0,0,0,1,0,0.6888736842105263,0.2631578947368421,0.3684210526315789,0.3157894736842105
2275065,817.0,0,100.0,98.0,0,1.0,1,1,53.3254,-6.21863,6,2.0,3.0,3.0,2,14,0,0,3,3,3,39,0,0,0,0.0,4.85,4.95,4.95,4.95,5.0,4.95,4.68,0,0.28,3.8831524997452402,0,1,0,0,1,0,0,0,0.9278948717948717,0.28205128205128205,0.41025641025641024,0.23076923076923078
2283713,79.0,2,83.0,78.0,0,2.0,1,1,53.33408,-6.26463,2,0.5,1.0,1.0,2,1001,19,31,43,43,43,370,1,23,150,11850.0,4.59,4.76,4.46,4.88,4.89,4.86,4.66,0,2.72,1.7731329027653389,0,1,0,0,0,0,1,0,0.6589227027027027,0.26216216216216215,0.32432432432432434,0.2594594594594595
2345315,60.0,4,100.0,97.0,0,3.0,1,1,53.37630245633504,-6.316897148631376,2,1.0,1.0,1.0,25,365,0,0,0,213,50,228,0,0,0,0.0,4.72,4.86,4.73,4.87,4.8,4.5,4.7,0,1.88,4.785007069221518,0,1,0,0,0,0,1,0,0.6453894736842105,0.2807017543859649,0.2807017543859649,0.31140350877192985
2394893,104.0,4,100.0,100.0,1,3.0,1,1,53.39058,-6.24692,2,1.5,1.0,1.0,2,21,22,46,68,235,139,269,4,16,126,13104.0,4.93,4.96,4.94,4.99,4.98,4.8,4.92,0,2.0,4.625092718290824,0,1,0,0,0,0,1,0,0.6920182156133828,0.2936802973977695,0.40892193308550184,0.26022304832713755
2415104,360.0,4,100.0,100.0,1,6.0,1,1,53.33364,-6.26584,6,1.5,2.0,4.0,5,365,4,16,24,283,120,287,1,16,150,54000.0,4.9,4.92,4.74,4.93,4.96,4.94,4.72,1,2.1,1.8359533576396392,0,1,0,0,1,0,0,0,0.8673337979094077,0.3205574912891986,0.2961672473867596,0.23693379790940766
2427857,102.0,4,100.0,100.0,1,3.0,1,1,53.38949,-6.24701,2,1.0,1.0,0.0,2,31,26,50,73,232,136,273,5,12,138,14076.0,4.96,4.97,4.94,4.99,4.98,4.81,4.9,0,2.0,4.50493552859928,0,1,0,0,0,0,1,0,0.7241066176470587,0.30514705882352944,0.46691176470588236,0.20588235294117646
2466169,69.0,4,100.0,60.0,1,2.0,1,1,53.34526,-6.28195,2,1.0,0.0,1.0,29,120,0,4,4,24,24,238,0,8,0,0.0,4.66,4.76,4.7,4.83,4.87,4.64,4.53,0,1.76,1.5277924934113363,0,1,0,0,1,0,0,0,0.6869428571428572,0.36134453781512604,0.33613445378151263,0.20588235294117646
2471794,110.0,3,90.0,82.0,1,1.0,1,1,53.28651,-6.13422,2,1.5,1.0,2.0,2,14,12,34,45,151,90,166,2,14,72,7920.0,4.89,4.9,4.91,4.94,4.92,4.89,4.8,0,1.23,10.964133100407679,1,0,0,0,0,0,1,0,0.7986421686746988,0.2289156626506024,0.42168674698795183,0.28313253012048195
2486255,100.0,4,100.0,97.0,1,3.0,1,1,53.35191,-6.45039,2,1.5,1.0,1.0,1,7,22,47,74,346,183,5,0,3,18,1800.0,4.8,4.8,5.0,4.8,5.0,4.8,4.8,0,0.23,12.660592781237296,0,0,0,1,0,0,1,0,0.47152000000000005,0.0,0.2,0.6
2489550,138.0,4,98.0,96.0,0,26.0,1,1,53.3436,-6.2673,2,1.0,1.0,2.0,14,1125,3,30,38,125,125,486,0,14,224,30912.0,4.88,4.94,4.87,4.9,4.93,4.97,4.76,0,3.62,0.8327374662062363,0,1,0,0,1,0,0,0,0.8444238683127572,0.2448559670781893,0.2736625514403292,0.2448559670781893
2574203,58.0,3,100.0,95.0,1,1.0,1,1,53.34223,-6.33011,1,1.0,1.0,1.0,2,3,4,15,22,291,128,568,6,73,255,14790.0,4.91,4.94,4.92,4.94,4.95,4.72,4.88,0,4.15,4.725009586012835,0,1,0,0,0,0,1,0,0.7676183745583038,0.30742049469964666,0.31095406360424027,0.2579505300353357
2657582,65.0,2,83.0,67.0,0,1.0,1,1,53.31188,-6.24776,2,1.0,1.0,1.0,28,360,15,15,15,202,39,20,0,4,112,7280.0,4.95,4.9,4.95,4.9,4.95,4.8,4.8,0,0.15,4.302111209099073,0,1,0,0,0,0,1,0,0.922585,0.2,0.35,0.3
2686112,110.0,3,80.0,30.0,0,1.0,1,1,53.35322,-6.26188,2,2.0,1.0,1.0,3,1125,4,12,26,284,121,92,0,13,42,4620.0,4.58,4.7,4.62,4.69,4.74,4.88,4.55,0,0.68,0.3948957690854328,0,1,0,0,0,0,1,0,0.7164032608695652,0.43478260869565216,0.358695652173913,0.17391304347826086
2691951,320.0,4,100.0,100.0,0,1.0,1,1,53.31019,-6.20477,4,1.0,2.0,2.0,2,14,12,35,54,275,161,114,0,7,36,11520.0,4.96,4.96,4.99,4.99,5.0,4.9,4.76,0,1.7,5.755033940516372,1,0,0,0,1,0,0,0,0.8620535087719299,0.21929824561403508,0.3157894736842105,0.2719298245614035
2734096,200.0,3,80.0,59.0,0,5.0,1,1,53.34374,-6.23594,1,1.0,1.0,1.0,3,60,26,56,86,361,198,23,0,0,0,0.0,4.91,4.96,4.74,4.87,4.91,4.96,4.74,0,0.17,1.756932994720731,0,1,0,0,0,0,1,0,0.864291304347826,0.21739130434782608,0.34782608695652173,0.391304347826087
2754860,750.0,0,100.0,98.0,0,1.0,1,1,53.56683,-6.38358,14,4.0,6.0,9.0,7,31,23,53,83,358,195,6,0,0,0,0.0,5.0,4.83,4.83,4.83,5.0,5.0,4.67,0,0.06,25.50464468522049,0,0,1,0,1,0,0,0,0.95085,0.0,1.0,0.0
2770813,120.0,3,97.0,78.0,0,4.0,1,1,53.36417,-6.18684,3,1.5,1.0,2.0,1,1000,14,28,47,309,146,225,4,41,255,30600.0,4.73,4.72,4.82,4.85,4.9,4.76,4.58,0,1.67,5.145949993919156,0,1,0,0,0,0,1,0,0.5923294642857143,0.28125,0.4330357142857143,0.24553571428571427
2791857,119.0,4,100.0,100.0,1,3.0,1,1,53.38903,-6.24719,2,1.5,1.0,1.0,2,21,25,49,71,166,143,269,3,14,108,12852.0,4.94,4.95,4.93,4.99,4.99,4.86,4.88,0,2.02,4.45238575068229,0,1,0,0,0,0,1,0,0.770582156133829,0.2936802973977695,0.44609665427509293,0.2379182156133829
2850155,315.0,2,100.0,100.0,0,1.0,1,1,53.28346,-6.13591,6,2.5,3.0,4.0,7,56,5,22,31,31,31,10,0,6,84,26460.0,5.0,5.0,5.0,5.0,5.0,4.9,4.9,0,0.29,11.101089484224282,1,0,0,0,1,0,0,0,0.7408,0.0,1.0,0.0
2874272,100.0,4,100.0,100.0,0,8.0,1,1,53.35685,-6.29078,2,1.0,1.0,1.0,2,365,0,4,8,148,49,206,0,25,126,12600.0,4.6,4.71,4.75,4.9,4.93,4.54,4.51,1,1.58,2.1759799865463747,0,1,0,0,1,0,0,0,0.6312150485436894,0.30097087378640774,0.16990291262135923,0.2524271844660194
3009793,125.0,3,75.0,84.0,0,4.0,1,1,53.33761,-6.32431,2,1.0,0.0,1.0,3,365,2,20,37,141,140,35,0,0,6,750.0,4.51,4.77,4.74,4.8,4.77,4.71,4.4,0,0.27,4.473903194407632,0,1,0,0,1,0,0,0,0.64208,0.2,0.2571428571428571,0.37142857142857144
3012532,135.0,4,100.0,100.0,1,5.0,1,1,53.52893,-6.0867,6,1.0,2.0,4.0,2,30,2,3,10,267,104,193,2,20,150,20250.0,4.85,4.88,4.85,4.92,4.96,4.8,4.81,1,1.44,23.03342070672971,0,0,1,0,1,0,0,0,0.8138202072538859,0.23316062176165803,0.3160621761658031,0.25906735751295334
